"","X","IDp","IDf","IDm","sex","byear","dyear","cregcode","sregcode","lifespan","afr","lrs","bcohort.20","bcohort.10","predicted_lifespan","is.dyear.known","dyear.predicted","migrantstatus","afr_5thp","afr_median","arryear","depyear","presence_duration"
"9465",30489,"P0000033988","P0000033597","P0000033984","F",1881,NA,"GL03","GL03",NA,18.8626110731374,NA,"(1.87e+03,1.89e+03]","(1.88e+03,1.89e+03]",61.6705399863295,"no:dyear_missing",1942.67053998633,"resident_married",19.1501025290499,24.2802460697198,1881,1943,62
"9466",30490,"P0000033989","P0000033597","P0000033984","M",1883,NA,"GL03","GL03",NA,NA,NA,"(1.87e+03,1.89e+03]","(1.88e+03,1.89e+03]",54.622009569378,"no:dyear_missing",1937.62200956938,"resident_married",21.6992481203008,27.5434039644566,1883,1938,55
"9467",30491,"P0000033990","P0000033597","P0000033984","M",1885,NA,"GL03","GL03",NA,NA,NA,"(1.87e+03,1.89e+03]","(1.88e+03,1.89e+03]",54.622009569378,"no:dyear_missing",1939.62200956938,"resident_married",21.6992481203008,27.5434039644566,1885,1940,55
"9468",30492,"P0000033991",NA,NA,"F",1855,1936,"GL17","GL03",81.1592617908407,20.8995215311005,3,"(1.85e+03,1.87e+03]","(1.85e+03,1.86e+03]",38.107997265892,"yes",1936,"immigrant",19.298017771702,23.6418318523582,1876,1936,60
"9469",30493,"P0000033992","P0000033620","P0000033991","M",1876,1958,"GL03","GL03",81.542036910458,NA,NA,"(1.87e+03,1.89e+03]","(1.87e+03,1.88e+03]",46.1216678058783,"yes",1958,"resident_married",21.6992481203008,27.5434039644566,1876,1958,82
"9470",30494,"P0000033993","P0000033620","P0000033991","M",1883,1945,"GL03","GL03",61.5748462064251,30.8571428571429,2,"(1.87e+03,1.89e+03]","(1.88e+03,1.89e+03]",54.622009569378,"yes",1945,"resident_married",21.6992481203008,27.5434039644566,1883,1945,62
"9471",30495,"P0000033994","P0000033620","P0000033991","F",1891,1891,"GL03",NA,0.215994531784005,NA,NA,"(1.89e+03,1.91e+03]","(1.89e+03,1.9e+03]",64.0437457279562,"yes",1891,"died_in_childhood",19.3837320574163,24.6534518113465,1891,1891,0
"9472",30497,"P0000033996","P0000033408","P0000033995","F",1872,NA,"GL03",NA,NA,NA,NA,"(1.87e+03,1.89e+03]","(1.87e+03,1.88e+03]",42.3021189336979,"no:dyear_missing",1914.3021189337,"emigrant_assumed_to_outside_glarus",19.1501025290499,24.2802460697198,1872,1891,19
"9473",30498,"P0000033997","P0000033408","P0000033995","F",1873,NA,"GL03",NA,NA,NA,NA,"(1.87e+03,1.89e+03]","(1.87e+03,1.88e+03]",42.3021189336979,"no:dyear_missing",1915.3021189337,"emigrant_assumed_to_outside_glarus",19.1501025290499,24.2802460697198,1873,1892,19
"9474",30499,"P0000033998","P0000033408","P0000033995","M",1876,NA,"GL03","GL03",NA,23.0840738209159,NA,"(1.87e+03,1.89e+03]","(1.87e+03,1.88e+03]",46.1216678058783,"no:dyear_missing",1922.12166780588,"resident_married",21.6992481203008,27.5434039644566,1876,1922,46
